aircraftType_iataMain;aircraftType_iataSub;route;codeshares;flightStates;eu;visa;flightDirection;flightName;flightNumber;gate;pier;id;isOperationalFlight;mainFlight;prefixIATA;prefixICAO;airlineCode;aircraftRegistration;serviceType;terminal;estimatedLandingTime;lastUpdatedAt;actualLandingTime;scheduleDateTime;actualOffBlockTime;expectedTimeBoarding;expectedTimeGateClosing;expectedTimeGateOpen;expectedTimeOnBelt;expectedSecurityFilter;publicEstimatedOffBlockTime
737;73W;TNG;;ARR,EXP;N;False;A;JAF23F;23;E7;E;143576111549791728;True;JAF23F;TB;JAF;4807;OOJAL;J;3.0;2025-11-04 23:47:51+00:00;2025-11-05 02:25:06.181000+00:00;2025-11-04 23:47:51+00:00;2025-11-04 23:28:00+00:00;;;;;2025-11-05 00:25:06.180000+00:00;;
737;73W;ORY;;SCH;S;False;A;TB2662;2662;;;143576112942760448;True;TB2662;TB;JAF;4807;;J;3.0;2025-11-04 23:21:00+00:00;2025-11-05 03:54:32.642000+00:00;;2025-11-04 23:29:00+00:00;;;;;;;
32S;32Q;LPA;codeshares;ARR,EXP;S;False;A;HV5666;5666;B15;B;143576111353775846;True;HV5666;HV;TRA;164;PHYHU;J;3.0;2025-11-04 22:57:35+00:00;2025-11-05 00:36:11.274000+00:00;2025-11-04 22:57:35+00:00;2025-11-04 23:35:00+00:00;;;;;2025-11-04 23:53:54.457000+00:00;;
32S;32Q;LPA;codeshares;ARR,EXP;S;False;A;KL2573;2573;B15;B;143576111732049780;True;HV5666;KL;KLM;100;PHYHU;J;3.0;2025-11-04 22:57:35+00:00;2025-11-05 00:36:11.274000+00:00;2025-11-04 22:57:35+00:00;2025-11-04 23:35:00+00:00;;;;;2025-11-04 23:53:54.457000+00:00;;
330;333;SJU;;CNX;N;False;D;DL9742;9742;;;143576110761948777;True;DL9742;DL;DAL;58;;J;2.0;;2025-11-05 09:29:41.917000+00:00;;2025-11-04 23:59:00+00:00;;;2025-11-04 23:39:00+00:00;2025-11-04 22:29:00+00:00;;;
32S;32Q;RAK;codeshares;ARR,EXP;N;False;A;HV5756;5756;E8;E;143576111353778510;True;HV5756;HV;TRA;164;PHYHC;J;3.0;2025-11-04 23:30:38+00:00;2025-11-05 00:49:18.089000+00:00;2025-11-04 23:30:38+00:00;2025-11-05 00:05:00+00:00;;;;;2025-11-05 00:17:58.393000+00:00;;
737;73H;TFS;codeshares;ARR,EXP;S;False;A;HV6672;6672;D73;D;143576111353877218;True;HV6672;HV;TRA;164;PHHSK;J;3.0;2025-11-04 23:26:02+00:00;2025-11-05 00:56:07.086000+00:00;2025-11-04 23:26:02+00:00;2025-11-05 00:05:00+00:00;;;;;2025-11-05 00:29:02.665000+00:00;;
737;73H;TFS;codeshares;ARR,EXP;S;False;A;KL2591;2591;D73;D;143576111732049924;True;HV6672;KL;KLM;100;PHHSK;J;3.0;2025-11-04 23:26:02+00:00;2025-11-05 00:56:07.086000+00:00;2025-11-04 23:26:02+00:00;2025-11-05 00:05:00+00:00;;;;;2025-11-05 00:29:02.665000+00:00;;
32S;32Q;RAK;codeshares;ARR,EXP;N;False;A;KL2604;2604;E8;E;143576111732052002;True;HV5756;KL;KLM;100;PHYHC;J;3.0;2025-11-04 23:30:38+00:00;2025-11-05 00:49:18.089000+00:00;2025-11-04 23:30:38+00:00;2025-11-05 00:05:00+00:00;;;;;2025-11-05 00:17:58.393000+00:00;;
74F;74N;NRT,ANC;;AIR,EXP;N;False;A;KZ004;4;;;143576110202416280;True;KZ004;KZ;NCA;131;JA17KZ;F;;2025-11-05 19:39:00+00:00;2025-11-05 11:15:51.961000+00:00;;2025-11-05 02:40:00+00:00;;;;;;;
32S;32Q;RAK;codeshares;DEP;N;False;D;HV5753;5753;D24;D;143576111353778505;True;HV5753;HV;TRA;164;PHYHE;J;1.0;;2025-11-05 03:37:25.186000+00:00;;2025-11-05 03:25:00+00:00;2025-11-05 03:27:15+00:00;;;;;;
32S;32Q;RAK;codeshares;DEP;N;False;D;KL2625;2625;D24;D;143576111732052153;True;HV5753;KL;KLM;100;PHYHE;J;1.0;;2025-11-05 03:37:25.186000+00:00;;2025-11-05 03:25:00+00:00;2025-11-05 03:27:15+00:00;;;;;;
76F;76Y;LEJ;;LND,EXP;S;False;A;QY1446;1446;;;143576112612801190;True;QY1446;QY;BCS;289;OELYB;F;;2025-11-05 03:48:50+00:00;2025-11-05 04:02:42.273000+00:00;2025-11-05 03:47:53+00:00;2025-11-05 04:15:00+00:00;;;;;;;
787;789;ICN;codeshares;ARR,EXP;N;False;A;AF3112;3112;F8;F;143576110322770616;True;KL0856;AF;AFR;80;PHBHP;J;3.0;2025-11-05 03:29:48+00:00;2025-11-05 05:26:12.092000+00:00;2025-11-05 03:28:58+00:00;2025-11-05 04:20:00+00:00;;;;;2025-11-05 04:40:20.153000+00:00;;
77F;77X;PVG;;LND;N;False;A;CZ451;451;;;143576110172441020;True;CZ451;CZ;CSN;43;B2026;F;;2025-11-05 04:19:47+00:00;2025-11-05 04:37:41.258000+00:00;2025-11-05 04:19:22+00:00;2025-11-05 04:20:00+00:00;;;;;;;
73F;73K;CDG;;LND,EXP;S;False;A;FX4235;4235;;;143576111083784180;True;FX4235;FX;FDX;5326;OEIXF;F;;2025-11-05 04:08:44+00:00;2025-11-05 04:20:20.282000+00:00;2025-11-05 04:08:26+00:00;2025-11-05 04:20:00+00:00;;;;;;;
787;789;ICN;codeshares;ARR,EXP;N;False;A;KE5925;5925;F8;F;143576111706126030;True;KL0856;KE;KAL;105;PHBHP;J;3.0;2025-11-05 03:29:48+00:00;2025-11-05 05:26:12.092000+00:00;2025-11-05 03:28:58+00:00;2025-11-05 04:20:00+00:00;;;;;2025-11-05 04:40:20.153000+00:00;;
787;789;ICN;codeshares;ARR,EXP;N;False;A;KL0856;856;F8;F;143576111731855240;True;KL0856;KL;KLM;100;PHBHP;J;3.0;2025-11-05 03:29:48+00:00;2025-11-05 05:26:12.092000+00:00;2025-11-05 03:28:58+00:00;2025-11-05 04:20:00+00:00;;;;;2025-11-05 04:40:20.153000+00:00;;
777;77W;ACC;codeshares;ARR,EXP;N;False;A;AF8248;8248;F7;F;143576110323280118;True;KL0590;AF;AFR;80;PHBVI;J;3.0;2025-11-05 05:01:50+00:00;2025-11-05 06:51:23.087000+00:00;2025-11-05 05:01:34+00:00;2025-11-05 04:45:00+00:00;;;;;2025-11-05 06:08:37.848000+00:00;;
